idEtudiant,Architecture des Ordinateurs,Techniques de Compilation,Recherche Operationnelle,Developpement Mobile,Programmation Multimedias,Statistiques,Bases de Donnees Avancees,Reseaux Informatiques,Conception Orientee Objet,Programmation Orientee Objet,Conception des Bases de Donnees,Systeme Logique,Probabilites,Algorithmique et Structures de Donnees,Blockchain,Architecture Logicielle,Systemes Exploitation,Entrepreneuriat,Analyse Numerique,Math Pour Ingenieur,Opt 2 : Fouille de Données,Opt 9 : Big Data,Opt 10 : Developpement iOS,Opt 3 : Machine Learning-Deep Learning,Opt 6 : Business Intelligence,Opt 4 : Transactions Electroniques,Opt 1 : Cloud Computing,Opt 8 : Sécurité Informatique,Opt 5 : Réseaux IP,Opt 16 : Réseaux GSM,Opt 12 : Electronique Embarquée,Opt 13 : Système Robotique,Opt 14 : Conception des Cartes Electroniques,Opt 15 : Réseau de Capteurs Sans Fils,Opt 7 : Qualité et Test
11,17.57,15.35,6.41,4.04,14.59,16.66,19.04,16.22,7.32,10.29,8.36,12.51,6.41,16.74,6.04,10.07,6.57,3.88,15.37,10.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.18,12.89,7.78,9.64,10.98
12,4.05,6.6,7.4,11.58,12.2,3.47,8.8,6.66,19.6,7.56,8.08,13.34,7.4,19.05,13.1,5.26,10.42,14.6,6.25,4.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.36,12.7,17.09,15.07,10.66
13,19,12.52,7.25,9.69,7.19,15.63,13.22,16.13,4.01,9.35,15.18,16.55,7.25,3.89,18.78,4.18,16.36,13.19,4.72,5.8,-1,-1,-1,-1,-1,11.75,11.8,9.97,7.21,16.66,-1,-1,-1,-1,-1
14,8.14,11.01,6.17,14.41,9.5,16.8,8.96,6.54,16.48,3.85,14.76,17.76,6.17,10.15,16.52,9.93,17.23,16.33,16.44,10.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.1,15.93,19.5,8.75,11.21
15,13.02,19.32,9.19,5.16,10.11,17.16,5.02,18.73,12.82,18.36,3.73,11.43,9.19,14.36,5.27,8.32,19,10.3,15.74,15.93,9.03,17.73,10.96,14.3,16.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,17.91,8.52,3.62,18.52,13.27,18.66,13.22,15.28,15.1,19.7,19.8,7.98,3.62,5.98,8.03,11.5,4.81,5.68,16.83,13.65,-1,-1,-1,-1,-1,12.78,15.08,7.23,15.21,7.03,-1,-1,-1,-1,-1
17,8.53,18.43,18.25,15.95,15.24,8.5,4.87,18.49,10.18,7.49,11.83,3.34,18.25,18.67,11.35,9.88,11.95,10.84,18.32,10.58,-1,-1,-1,-1,-1,9.12,10.65,7.33,11.55,14.51,-1,-1,-1,-1,-1
18,18.9,8.8,19.07,19.29,12.78,7.28,16.84,8.99,5.11,18.24,3.92,6.99,19.07,8.69,6.01,6.68,16.85,15.64,15.13,13.45,-1,-1,-1,-1,-1,11.65,18.5,18.18,14.87,10.21,-1,-1,-1,-1,-1
19,12.51,15.62,6.84,6.94,4.75,12.36,6.82,10.2,14.21,4.19,3.7,4.64,6.84,15.32,9.47,6.94,13.86,18.52,13.38,10.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.13,19.7,12.53,10.49,14.39
20,6.74,11.88,14.96,5.53,10.24,7.79,9.59,9.11,15.61,6.87,5.94,8.7,14.96,16.18,17.63,3.93,11.16,16.9,12.68,13.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.11,9.7,14.97,13.18,11.45
21,6.63,16.42,19.64,14.54,9.24,11.58,9.88,9.19,17.07,16.61,16.39,4.26,19.64,11,16.71,15.08,13.76,3.87,9.28,6.96,-1,-1,-1,-1,-1,10.24,17.47,14.97,14.95,19.4,-1,-1,-1,-1,-1
22,3.92,11.57,10.67,15.46,4.96,5.69,17.07,15.68,4.77,17.05,13.82,14.35,10.67,12.57,14.32,19.7,16.68,11.83,12.48,13.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.44,11.17,15.4,19.51,18.97
23,10.86,12.8,13.94,18,11.63,14.71,7.75,19.41,8.69,18.75,17.67,15.31,13.94,15.75,5.74,3.23,15.4,13.37,5.27,19.63,-1,-1,-1,-1,-1,16.31,15.5,13.44,17.01,15.45,-1,-1,-1,-1,-1
24,7.25,10.68,13.18,7.27,8.7,12.47,6.55,17.4,8.37,4.68,12.74,15.05,13.18,14.39,10.53,6.78,4.59,4.42,6.67,7.86,9.02,17,16.72,10.21,11.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,17.77,19.17,4.05,19.59,18.71,14.41,3.28,15.61,5.61,11.41,5.85,11.04,4.05,18.58,12.44,14.73,17.53,16.6,12.34,13.73,-1,-1,-1,-1,-1,10.71,7.85,11.1,11.66,14.21,-1,-1,-1,-1,-1
26,5.67,6.42,6.61,11.95,18.59,10.39,11.71,8.29,17.57,13.66,12.87,8.56,6.61,17.03,6.47,8.63,7.37,9.02,15.31,9.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.75,19.66,18.38,18.67,8.91
27,5.02,14.68,14.5,10.27,8.75,16.38,5.47,11.97,5.15,18.4,13.12,19.94,14.5,13.29,12.54,18.6,6.66,17.6,15.7,3.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.01,14.19,17.11,14.79,10.89
28,18.57,10.5,16.31,15.43,17.79,9.46,10.5,11.1,18.52,15.44,14.14,12.91,16.31,15.11,13.45,3.49,5.71,3.09,14.1,6.15,-1,-1,-1,-1,-1,17.3,14.48,17.84,7.44,15.34,-1,-1,-1,-1,-1
29,18.15,10.72,19.14,12.99,17.23,7.27,11.15,7.03,11.54,10.14,4.98,4.31,19.14,17.78,15.89,3.42,11.5,4.72,9.2,5.87,-1,-1,-1,-1,-1,13.1,14,15.5,7.03,8.41,-1,-1,-1,-1,-1
30,19.6,8.87,12.37,4.43,15.72,7.1,8.97,12.13,12.46,14.9,18.21,14,12.37,16.43,17.14,12.05,9.44,10.48,4.66,5.73,-1,-1,-1,-1,-1,8.6,18.65,10.84,10.07,19.22,-1,-1,-1,-1,-1
31,15.93,7.59,18.63,5.46,13.29,13.57,17.88,3.28,15.46,6.95,12.89,11.51,18.63,6.82,3.04,10.45,3.2,17.85,4.83,19.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.52,18.8,13.95,16.46,19.58
32,17.41,7.99,8.78,18.68,8.02,12.6,10,15.66,3.85,16.8,17.81,8.16,8.78,3.72,9.89,19.15,11.92,6.3,3.96,3.21,-1,-1,-1,-1,-1,17.89,7.07,14.65,19.86,8.97,-1,-1,-1,-1,-1
33,5.49,12.31,16.63,13.52,4.96,13.75,5.55,13.58,4.06,5.93,19.5,18.1,16.63,15.66,5.21,14.22,18.85,7.07,5.25,5.99,-1,-1,-1,-1,-1,7.43,8.25,17.09,7.67,7.15,-1,-1,-1,-1,-1
34,15.55,12.91,16,11.25,7.14,4.48,17.13,5.32,13.54,18.85,7.85,14.44,16,9.17,10.23,5.07,5.19,17.26,19.23,15.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.56,17.41,8.82,12.41,17.86
35,3.53,19.08,4.49,19.58,13.9,6.68,3.84,9.73,7.05,18.73,10.99,17.22,4.49,12.41,9.04,5.52,8.15,16.04,11.64,7.54,-1,-1,-1,-1,-1,11.06,9.21,15.3,18.56,8.83,-1,-1,-1,-1,-1
36,9.9,6.85,9.38,13.64,10.32,18.71,16.57,19.35,7.22,17.74,19.02,3.75,9.38,9.16,15.84,18.49,9.51,7.18,13.89,9.02,16.27,9.74,8.75,13.65,7.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,16.19,6.55,3.79,14.74,17.91,7.47,12.97,16.05,3.98,7.52,9.5,12.92,3.79,4.24,13.45,5.31,11.12,5.63,7.15,10.32,-1,-1,-1,-1,-1,19.47,19.52,11.75,11.35,8.65,-1,-1,-1,-1,-1
38,18.32,13.09,12.34,12.78,15.99,5.81,13.24,11.58,19.93,18.72,17.12,9.35,12.34,16.95,10.74,16.69,15.82,5.08,9.43,18.91,-1,-1,-1,-1,-1,10.79,14.78,17.4,9.25,16.06,-1,-1,-1,-1,-1
39,18.76,14.47,11.42,8.35,17.65,15.12,15.87,15.89,13.1,19.28,11.73,18.01,11.42,18.35,18.43,3.25,6.16,10.07,11.37,10.6,15.87,8.29,8.51,11.89,11.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,13.35,9.71,3.09,13.07,16.76,11.17,15.16,7.57,8.79,5.34,15.11,12.61,3.09,4.62,9.12,18.65,19.28,7.59,14.38,18.05,-1,-1,-1,-1,-1,10.51,17.75,10.48,19.63,12.73,-1,-1,-1,-1,-1
41,9.06,18.74,9.87,18.92,14.31,18.07,10.29,5.9,12.47,11.18,19.37,12.47,9.87,17.86,10.07,12.92,5.57,16.25,6.85,16.87,-1,-1,-1,-1,-1,7.88,19.75,13.4,16.7,8.48,-1,-1,-1,-1,-1
42,13.94,19.76,13.78,19.15,7.43,19.55,12.45,8.42,6.67,8.29,8.73,7.77,13.78,12.87,9.77,11.24,8.66,17.5,7.75,18.28,-1,-1,-1,-1,-1,18.66,7.54,16.54,15.81,14.87,-1,-1,-1,-1,-1
43,13.68,5.63,8.57,17.6,4.3,4.04,16.34,15.81,8.35,14.39,4.91,14.53,8.57,3.01,4.68,3.29,7.68,17.41,10.43,10.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.8,8.09,11.56,17.86,12.36
44,9.06,10.38,18.12,3.06,7.72,10.92,8.76,16.72,8.29,16.99,19.75,14.74,18.12,3.51,15.45,5.73,3.81,9.66,4.44,5.5,9.56,15.14,19.55,7.31,8.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,15.37,18.44,19.41,12.71,9.94,15.95,19.24,10.18,17.2,19.62,4.58,17.89,19.41,11.75,5.17,4.53,17.28,17.47,17.34,4.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.49,12.91,19.48,14.96,13.33
46,18.25,5,7.83,10.82,13.72,11.05,4.65,11.95,12.99,16.22,8.18,8.13,7.83,13.28,19.27,10.19,9.65,9.96,3.84,6.93,9.91,8.35,7.05,15.54,18.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,13.35,9.4,15.56,7.26,7.54,16.19,10.06,19.58,4.57,15.44,19.73,9.97,15.56,19.36,3.32,18.83,6.52,6.02,13.43,5.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.32,19.82,12.78,19.74,10.13
48,19.73,14.24,6.63,6.41,18.54,7.94,10.67,11.55,11.9,10.49,8.8,6.07,6.63,4.35,15.81,12.8,4.75,16.89,11.06,11.69,13.44,9.36,14.31,18.2,18.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,13.82,18.08,5.8,5.16,13.38,15.27,5.53,13.74,17.75,9.75,17.31,10.11,5.8,9.4,15.38,9.41,6.27,18.57,6.34,16.59,9.22,8.31,12.13,10.49,16.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,14.24,16.7,14.49,17.34,11.41,13.45,10.43,15.78,16.07,13.2,15.1,10.6,14.49,12.32,18.57,4.73,18.64,18.19,19.19,19.47,-1,-1,-1,-1,-1,13.06,18.88,10.16,14.17,8.66,-1,-1,-1,-1,-1
51,10.88,13.32,17.17,5.53,7.99,3.28,19.12,5.89,7.03,17.41,6.8,16.96,17.17,11.93,6.12,17.2,6.65,14.37,9.52,10.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.82,9.09,9.46,19.29,10.8
52,14.49,18.16,13.59,9.03,12.3,8.47,4.03,3.73,11.61,17.23,5.41,14.36,13.59,6.55,5.34,5.51,10.95,4.64,5.75,14.84,-1,-1,-1,-1,-1,8.76,19.95,16.7,15.93,9.78,-1,-1,-1,-1,-1
53,4.84,4.54,18.72,8.28,19.09,4.63,5.84,12.86,7.75,16.04,18.34,10.41,18.72,6.98,7.61,5.06,11.56,15.16,3.58,8.2,12.05,11.44,16.43,17.57,17.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,14.36,5.84,5.32,13.85,18.98,3.85,18.5,17.45,19.89,6.39,7.41,12.11,5.32,16.07,8.06,8.32,3.58,3.77,13.35,19.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.98,18.16,9.31,12.21,14.4
55,13.55,12.13,12.72,10.13,18.57,17.33,15.2,13.44,10.12,18.83,15.39,15.89,12.72,5.89,19.6,7.26,3.41,5.39,15.92,12.57,10.94,14.1,8.8,10.02,17.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,14.98,8.38,7.98,14.2,6.77,18.08,5.39,5.77,10.45,5.35,17.03,6.56,7.98,10.45,3.11,4.3,12.28,16.07,17.87,9.61,-1,-1,-1,-1,-1,9.57,7.65,16.05,10.67,19.27,-1,-1,-1,-1,-1
57,9.42,16.11,19.57,19.13,19.43,17.93,12.77,16.73,15.74,15.81,6.73,18.86,19.57,10.87,4.67,16.76,8.16,7.69,13.45,14.06,9.19,10.22,16.52,11.11,11.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,6.85,16.49,18.72,19.47,12.29,7.71,6.17,19.32,9.4,7.5,7.85,14,18.72,6.94,11.09,9.4,4.1,5.72,8.24,6.41,11.8,19.51,7.84,19.25,12.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,11.29,15.38,10.8,8.64,17.68,16.74,18.4,13.4,6.46,14.23,5.67,15.04,10.8,5.61,11.18,16.9,8.96,16.69,11.58,7.4,10.95,18.82,14.21,17.55,11.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,16.36,12.22,6.18,18.15,14.77,9.83,12.67,7.78,4.9,12.37,5.03,16.45,6.18,4.26,6.7,4.11,18.4,10.23,16.67,4.97,-1,-1,-1,-1,-1,19.07,12.52,10.18,17.7,17.58,-1,-1,-1,-1,-1
61,8.24,18.23,12.61,13.62,3.24,19.64,12.73,17.89,10.53,15.21,16.18,12.43,12.61,4.31,7.77,15.5,6.7,16.8,11.46,14.19,-1,-1,-1,-1,-1,18.89,19.39,7.43,19.23,7.15,-1,-1,-1,-1,-1
62,6.46,3.53,12.02,5.89,19.09,7.24,15.06,18.25,4.46,10.66,8.25,6.66,12.02,5.94,3.61,6,5.19,19.74,10.58,7.69,10.95,16.83,14.12,11.81,14.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,13.5,16.16,14.55,3.43,10.2,19.74,18.5,17.28,7.64,6.15,13.12,18.36,14.55,4.66,5.16,4.5,6.23,12.86,8.84,4.81,15.44,12.08,11.79,19.64,18.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,3.77,14.61,12.84,18.15,9.63,18.47,12.78,17.93,10.34,11.37,19.82,17.44,12.84,19.25,6.17,15.26,16.03,12.75,17.85,11.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.69,13.1,18.71,19.68,13.98
65,10.73,6.49,9.35,10.79,16.78,4.31,15.27,16.52,11.91,4.18,12.99,5.33,9.35,5.28,16.4,12.84,18.21,19.75,13.27,15.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.06,10.19,9.84,14.26,11.56
66,14.95,10.25,10.76,10.95,7.03,15.05,19.01,5.68,13.67,12.29,4.09,6.27,10.76,5.02,11.26,17.78,4.04,10.71,4.62,13.55,13.21,15.67,12.97,11.2,12.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,5.78,16.78,19.48,3.26,6.13,4.97,9.6,6.17,3.29,7.23,13.89,3.08,19.48,11.12,14.94,8.39,18.55,4.51,13.38,8.95,-1,-1,-1,-1,-1,11.24,13.44,18.12,19.48,9.24,-1,-1,-1,-1,-1
68,7.66,9.22,4.65,12.69,9.1,13.37,9.16,15.52,10.67,18.96,3.04,10.43,4.65,13.2,14.96,18.02,18.5,9.5,14.88,11.45,10.09,19.64,19.4,18.71,11.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,8.5,18.61,9.8,18.76,9.23,9.15,9.35,19.5,6.33,13.45,12.32,14.67,9.8,7.04,13.1,4.14,10.95,6.01,15.56,11.54,-1,-1,-1,-1,-1,10.15,11.82,18.33,12.73,15.84,-1,-1,-1,-1,-1
70,18.44,7.74,3.91,4.65,16.93,5.04,15,5.49,5.77,7.66,18.51,13.75,3.91,11.28,9.45,15.44,5.99,18.78,12.73,17.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.73,11.72,7.93,19.12,7.92
71,7.32,4.64,5.1,6.53,5.07,17.38,8.49,16.83,10.17,5.83,9.98,10.29,5.1,7.87,16.82,5.02,18.97,17.54,17.79,17.83,15.42,13.84,12.71,10.36,11.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,5.54,13.41,17.77,12.99,8.84,5.66,4.28,8.95,12.32,7.86,7.72,6.8,17.77,12.36,14.11,8.9,16.28,11.89,3.48,16.66,-1,-1,-1,-1,-1,10.47,19.53,15.4,19.99,14.29,-1,-1,-1,-1,-1
73,19.08,15.56,3.86,16.2,3.66,10.47,4.2,4.1,19.98,19.85,5.96,8.42,3.86,15.13,11.8,9.24,4.04,5.87,11.94,17.56,-1,-1,-1,-1,-1,7.62,17.23,18.06,13.97,18.68,-1,-1,-1,-1,-1
74,19.83,17.14,8.13,8.67,13.52,5.06,10.91,10.3,12.56,12.75,15.96,9.81,8.13,12.32,3.29,13.11,11,8.02,18.08,13.08,-1,-1,-1,-1,-1,13.46,15.23,8.87,9.38,7.29,-1,-1,-1,-1,-1
75,18.54,10.04,11.5,14.8,6.08,18.08,15,10.32,16.29,18.2,8.47,4.9,11.5,5.89,16.62,11.23,8.62,14.04,13.24,13.81,13.65,10.9,18.65,15.37,15.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,4.45,17.28,17.33,15.26,12.39,13.44,19.89,8.58,13.19,7.05,9.17,18.18,17.33,5.55,13.24,3.18,10.15,17.05,10.38,7.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.78,7.5,14.83,8.53,19.52
77,12.76,15.23,10.26,17.24,12.89,16,15.23,17.84,8.24,15.87,14.67,13.71,10.26,12.21,5.2,6.49,8.67,3.81,9.4,10.99,-1,-1,-1,-1,-1,13.63,16.49,13.92,15.58,16.23,-1,-1,-1,-1,-1
78,15.09,17.34,8.77,17.86,6.53,16.98,11.24,3.13,17.67,8.16,19.39,10.64,8.77,19.57,14.41,15.27,16.19,18.03,5.44,6.26,-1,-1,-1,-1,-1,8.34,8.1,18.21,12.74,16.25,-1,-1,-1,-1,-1
79,17.09,19.12,7.71,13.6,18.1,12.41,10.03,5.21,16.69,18.79,5.28,17.96,7.71,12.66,11.17,18.81,8,12.71,4.48,14.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.17,15.42,10.33,17.17,8.77
80,6.45,14.04,3.13,7.55,13.91,19.54,13.74,13.55,18.58,10.36,6.23,17.67,3.13,6.35,19.48,19.83,20,10.59,14.23,8.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.03,14.66,10.49,13.2,14.37
81,5.99,15.48,3.58,3.48,19.88,7.36,6.43,13.78,4.19,10.07,5,3.6,3.58,7.92,10.79,6.24,18.32,6.78,14.86,19.87,12.59,19.83,16.07,15.58,16.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,12.62,5.77,5.62,18.33,3.77,5.46,13.24,13.1,18.49,16.8,6.01,7.45,5.62,12.39,6.47,16.57,17,14.77,7.88,12.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.55,12.18,13.19,16.46,17.16
83,12.27,5.2,11.73,12.37,7.97,8.31,18.15,15.12,4.86,17.83,17.69,13.94,11.73,15.37,16.4,11.68,18.81,6.64,19.68,18.28,-1,-1,-1,-1,-1,7.31,17.58,18.2,9.45,13.81,-1,-1,-1,-1,-1
84,14.79,13.92,3.53,11.9,4.92,3.59,10.36,15.53,7.69,12.73,15.58,10.77,3.53,14.29,17.33,13.07,16.99,11.91,8.15,11.58,-1,-1,-1,-1,-1,18.85,19.03,8.93,16.91,17.8,-1,-1,-1,-1,-1
85,10.51,19.97,16.1,18.28,16.98,5.71,10.43,6.9,17.19,11.1,8.01,17.79,16.1,4.85,12.63,10.94,16.48,5.52,3.18,18.72,-1,-1,-1,-1,-1,15.34,9.6,11.75,10.46,11.29,-1,-1,-1,-1,-1
86,18.07,11.07,4.96,19.44,18.84,13.57,16.4,17.84,7.16,14.92,18.08,13.6,4.96,18.44,3.51,18.63,9.73,16.66,4.46,8.3,-1,-1,-1,-1,-1,19.42,18.98,19.44,9.64,18.15,-1,-1,-1,-1,-1
87,15.07,14.32,7.42,3.24,15.36,18.06,5.47,5.36,18.97,8.34,14.08,8.15,7.42,3.09,13.29,3.04,19.73,6.24,18.62,8.56,-1,-1,-1,-1,-1,19.24,12.23,12.26,18.23,18.18,-1,-1,-1,-1,-1
88,11.75,7.51,16.55,12.12,13.75,8.42,18.15,18.93,13.42,17.12,6,16.79,16.55,15.21,12.7,9.23,5.14,5.08,10.75,6.62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.17,7.46,19.81,15.76,19.64
89,5.78,5.11,4.06,17.38,9.17,16.84,13,9.35,3.99,13.78,13.81,10.25,4.06,8.54,7.92,13.76,15.54,15.79,3.91,8.23,-1,-1,-1,-1,-1,14.24,11.85,9.02,18.06,10.96,-1,-1,-1,-1,-1
90,8.61,12.63,18.5,11.54,15.99,15.82,15.95,12.3,14.72,10.7,4.32,17.29,18.5,7.43,13.43,4.17,11.75,6.83,17.94,11.68,14.29,8.4,13.97,12.42,18.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,12.19,13.42,4.24,11.38,11.23,19.54,8.34,12.84,6.55,4.78,13.08,13.7,4.24,12.01,12.71,17.36,13.21,9.28,14.5,5.87,-1,-1,-1,-1,-1,17.71,18.92,9.88,16.83,19.13,-1,-1,-1,-1,-1
92,18.58,12.44,10.35,16.81,16.17,9.12,6.79,11.82,16.64,5.83,19.86,17.27,10.35,16.66,18.68,13.68,10.86,8.62,12.28,13.71,-1,-1,-1,-1,-1,9.84,15.7,18.44,16.76,7.55,-1,-1,-1,-1,-1
93,6.64,14.09,10.88,12.01,16.76,15.36,7.4,6.53,11.1,8.24,14.46,14.27,10.88,8.04,12.68,16.58,6.5,12.72,6.85,15.03,12.15,19.9,16.53,17.59,7.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,12.78,8.47,3.93,10.03,18.33,3.93,14.83,15.91,15.48,7.56,12.42,18.47,3.93,7.85,4.6,13.73,5.02,13.21,10.19,19.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.62,16.14,11.46,7.5,13.37
95,3.66,18.11,8.2,12.78,10.82,17.4,16.64,13.12,13.06,6.37,17.07,9.24,8.2,5.51,14.22,8.45,7.23,10.37,3.93,14.45,15.08,10.47,17.22,13.66,14.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,16.69,15.46,14.81,13.78,7.95,10.06,6.2,19.35,11.68,19.94,5.52,11.93,14.81,10.38,19.74,19.59,5.98,3.47,17.35,18.74,10,13.7,14.03,12.3,19.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,16.75,18.32,17.73,4.52,4.06,6.92,3.56,14.93,4.32,4.34,4.84,3.43,17.73,19.49,17.86,16.5,13.38,8.62,18.96,17.21,11.16,11.19,12.81,15.2,15.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,17.71,5.41,8.31,14.73,15.51,9.73,10.59,5.21,11.26,13.48,12.48,18.39,8.31,5.81,5.87,18.41,16.43,9.47,5.27,10.78,-1,-1,-1,-1,-1,7.49,14.71,15.38,9.25,19.56,-1,-1,-1,-1,-1
99,9.39,4.32,10.88,17.89,7.69,19.01,12.82,5.29,10.93,3.07,18.67,11,10.88,12.17,14.54,3.4,4.01,15.59,14.46,16.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.22,18.15,8.96,15.31,16.12
